year,code,product,value
2002,00,Índice general,76.261
2002,011,Alimentos,72.657
2002,012,Bebidas no alcohólicas,76.278
2002,021,Bebidas alcohólicas,78.959
2002,022,Tabaco,42.789
2002,031,Vestido,92.749
2002,032,Calzado y sus reparaciones,84.892
2002,041,Alquiler de vivienda,74.568
2002,043,Conservación y reparación de la vivienda,72.276
2002,044,Suministro de agua y otros servicios relacionados con la vivienda,63.296
2002,045,"Electricidad, gas y otros combustibles",64.183
2002,051,"Muebles y accesorios, alfombras y otros revestimientos de suelos",76.617
2002,052,Artículos textiles para el hogar,89.821
2002,053,Aparatos domésticos,113.792
2002,054,"Cristalería, vajilla y utensilios para el hogar",77.366
2002,055,Herramientas y equipos para el hogar y el jardín,76.939
2002,056,Bienes y servicios para el mantenimiento corriente del hogar,79.456
2002,061,"Productos, aparatos y equipos médicos",104.033
2002,062,Servicios ambulatorios,76.029
2002,063,Servicios hospitalarios,83.489
2002,071,Adquisición de vehículos,88.433
2002,072,Utilización de vehículos personales,67.076
2002,073,Servicios de transporte,58.279
2002,081,Servicios postales,61.125
2002,082,Equipos de telefonía y fax, 
2002,083,Servicios de telefonía y fax, 
2002,091,"Equipos audiovisuales, fotográficos y de procesamiento de información",388.545
2002,092,Otros grandes bienes duraderos para ocio y cultura, 
2002,093,"Otros artículos y equipos para ocio, jardinería y animales domésticos",97.814
2002,094,"Servicios recreativos, deportivos y culturales",74.477
2002,095,"Prensa, libros y artículos de papelería",75.459
2002,096,Paquetes turísticos,77.433
2002,101,Enseñanza infantil y primaria, 
2002,102,Enseñanza secundaria, 
2002,103,Enseñanza postsecundaria no superior, 
2002,104,Enseñanza superior,48.971
2002,105,Enseñanza no definida por nivel,74.014
2002,111,Restauración y comedores,70.568
2002,112,Servicios de alojamiento,76.253
2002,121,Cuidado personal,80.518
2002,123,Efectos personales n.c.o.p.,59.441
2002,124,Protección social, 
2002,125,Seguros,65.221
2002,126,Servicios financieros n.c.o.p.,53.715
2002,127,Otros servicios n.c.o.p.,70.031
2003,00,Índice general,78.579
2003,011,Alimentos,75.648
2003,012,Bebidas no alcohólicas,79.101
2003,021,Bebidas alcohólicas,80.656
2003,022,Tabaco,44.421
2003,031,Vestido,96.297
2003,032,Calzado y sus reparaciones,87.983
2003,041,Alquiler de vivienda,77.748
2003,043,Conservación y reparación de la vivienda,75.355
2003,044,Suministro de agua y otros servicios relacionados con la vivienda,65.317
2003,045,"Electricidad, gas y otros combustibles",65.041
2003,051,"Muebles y accesorios, alfombras y otros revestimientos de suelos",78.747
2003,052,Artículos textiles para el hogar,91.223
2003,053,Aparatos domésticos,112.879
2003,054,"Cristalería, vajilla y utensilios para el hogar",78.796
2003,055,Herramientas y equipos para el hogar y el jardín,78.977
2003,056,Bienes y servicios para el mantenimiento corriente del hogar,81.583
2003,061,"Productos, aparatos y equipos médicos",105.192
2003,062,Servicios ambulatorios,78.488
2003,063,Servicios hospitalarios,87.86
2003,071,Adquisición de vehículos,89.917
2003,072,Utilización de vehículos personales,68.564
2003,073,Servicios de transporte,60.443
2003,081,Servicios postales,63.143
2003,082,Equipos de telefonía y fax, 
2003,083,Servicios de telefonía y fax, 
2003,091,"Equipos audiovisuales, fotográficos y de procesamiento de información",351.428
2003,092,Otros grandes bienes duraderos para ocio y cultura, 
2003,093,"Otros artículos y equipos para ocio, jardinería y animales domésticos",99.505
2003,094,"Servicios recreativos, deportivos y culturales",76.771
2003,095,"Prensa, libros y artículos de papelería",78.17
2003,096,Paquetes turísticos,79.841
2003,101,Enseñanza infantil y primaria, 
2003,102,Enseñanza secundaria, 
2003,103,Enseñanza postsecundaria no superior, 
2003,104,Enseñanza superior,51.614
2003,105,Enseñanza no definida por nivel,76.8
2003,111,Restauración y comedores,73.634
2003,112,Servicios de alojamiento,78.822
2003,121,Cuidado personal,82.824
2003,123,Efectos personales n.c.o.p.,60.521
2003,124,Protección social, 
2003,125,Seguros,67.683
2003,126,Servicios financieros n.c.o.p.,59.343
2003,127,Otros servicios n.c.o.p.,71.634
2004,00,Índice general,80.967
2004,011,Alimentos,78.673
2004,012,Bebidas no alcohólicas,80.419
2004,021,Bebidas alcohólicas,81.585
2004,022,Tabaco,46.901
2004,031,Vestido,98.01
2004,032,Calzado y sus reparaciones,89.717
2004,041,Alquiler de vivienda,80.936
2004,043,Conservación y reparación de la vivienda,78.56
2004,044,Suministro de agua y otros servicios relacionados con la vivienda,68.489
2004,045,"Electricidad, gas y otros combustibles",66.281
2004,051,"Muebles y accesorios, alfombras y otros revestimientos de suelos",81.038
2004,052,Artículos textiles para el hogar,93.359
2004,053,Aparatos domésticos,111.575
2004,054,"Cristalería, vajilla y utensilios para el hogar",80.107
2004,055,Herramientas y equipos para el hogar y el jardín,80.766
2004,056,Bienes y servicios para el mantenimiento corriente del hogar,82.76
2004,061,"Productos, aparatos y equipos médicos",103.574
2004,062,Servicios ambulatorios,80.615
2004,063,Servicios hospitalarios,91.871
2004,071,Adquisición de vehículos,91.32
2004,072,Utilización de vehículos personales,73.123
2004,073,Servicios de transporte,63.799
2004,081,Servicios postales,65.119
2004,082,Equipos de telefonía y fax, 
2004,083,Servicios de telefonía y fax, 
2004,091,"Equipos audiovisuales, fotográficos y de procesamiento de información",319.5
2004,092,Otros grandes bienes duraderos para ocio y cultura, 
2004,093,"Otros artículos y equipos para ocio, jardinería y animales domésticos",99.618
2004,094,"Servicios recreativos, deportivos y culturales",79.107
2004,095,"Prensa, libros y artículos de papelería",80.689
2004,096,Paquetes turísticos,80.928
2004,101,Enseñanza infantil y primaria, 
2004,102,Enseñanza secundaria, 
2004,103,Enseñanza postsecundaria no superior, 
2004,104,Enseñanza superior,54.143
2004,105,Enseñanza no definida por nivel,79.266
2004,111,Restauración y comedores,76.66
2004,112,Servicios de alojamiento,81.185
2004,121,Cuidado personal,84.61
2004,123,Efectos personales n.c.o.p.,61.502
2004,124,Protección social, 
2004,125,Seguros,70.122
2004,126,Servicios financieros n.c.o.p.,70.524
2004,127,Otros servicios n.c.o.p.,73.282
2005,00,Índice general,83.694
2005,011,Alimentos,81.237
2005,012,Bebidas no alcohólicas,81.56
2005,021,Bebidas alcohólicas,82.471
2005,022,Tabaco,50.005
2005,031,Vestido,99.135
2005,032,Calzado y sus reparaciones,91.698
2005,041,Alquiler de vivienda,84.395
2005,043,Conservación y reparación de la vivienda,82.07
2005,044,Suministro de agua y otros servicios relacionados con la vivienda,72.062
